"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1873",84646,"I Know That You Hate Me",0.916,0.423,1,-11.728,1,0.332,0.485,1.61e-06,0.11,0.123,126.015,"spotify:track:4M4i40Lc2GR7OjGMtZnFTI",99,4,"rapmetal","Rap"
"1874",84647,"Drop Dead",0.7,0.526,9,-9.767,0,0.0508,0.0616,0,0.121,0.277,99.921,"spotify:track:6SvoXjxa0JMiiGtpOuOMw9",144,4,"rapmetal","Rap"
"1875",84648,"Kill Yourself(Part II I)",0.753,0.679,5,-7.092,0,0.0349,0.324,4.21e-05,0.423,0.19,105.977,"spotify:track:5XAPpyIoYF3QXP34Hv8Pvx",145,4,"rapmetal","Rap"
"1876",84649,"Texas",0.748,0.538,8,-7.316,1,0.18,0.59,0.0542,0.128,0.232,110.03,"spotify:track:6Kl02MNcQ58bWx2oy9mvwP",108,4,"rapmetal","Rap"
"1877",84650,"Rampart Range",0.849,0.413,0,-9.274,0,0.346,0.00286,8.58e-05,0.106,0.458,170.096,"spotify:track:3DzuPzpdZtn3oFVZ9gcy0M",98,4,"rapmetal","Rap"
"1878",84651,"Low Key",0.551,0.573,5,-4.153,1,0.372,0.316,2.49e-06,0.107,0.209,84.732,"spotify:track:3JnbauRAM5tvB042wbuorJ",122,3,"rapmetal","Rap"
"1879",84652,"2 Hot4 U(feat.$Uicdeboy$)",0.77,0.623,8,-7.025,0,0.0569,0.0601,0,0.117,0.0947,134.974,"spotify:track:599cYawsBthDvauPoXNr7U",199,4,"rapmetal","Rap"
"1880",84653,"Carrollton",0.844,0.52,5,-10.626,0,0.533,0.00221,0.00122,0.7,0.289,149.995,"spotify:track:7wPHEEGn0rWMZEDrDcOaDa",203,4,"rapmetal","Rap"
"1881",84654,"The Bodies Fall Just Likethe Leaves",0.835,0.559,5,-5.617,1,0.0327,0.00177,5.5e-05,0.116,0.267,133.052,"spotify:track:27H0ZfxRxOC97n72akzapS",144,4,"rapmetal","Rap"
"1882",84655,"Leglock",0.767,0.956,10,-3.833,1,0.261,0.528,0.056,0.208,0.427,77.505,"spotify:track:0erWz20ZejKi8WRNoeNQjJ",123,4,"rapmetal","Rap"
"1883",84656,"The Mystical Warlock",0.808,0.867,8,-3.555,1,0.114,0.0527,0.0148,0.587,0.601,160.03,"spotify:track:6Bh3lqFN3BgVaP2j5l99tH",195,4,"rapmetal","Rap"
"1884",84657,"Hi-Fi(prod.by Omen XI II)",0.813,0.697,6,-6.735,1,0.0961,0.0355,0.000551,0.11,0.547,79.489,"spotify:track:2wV8is8mh3yfI3im21lG3F",107,4,"rapmetal","Rap"
"1885",84658,"L TE",0.811,0.486,1,-7.656,1,0.05,0.0685,0.659,0.125,0.0384,105.991,"spotify:track:0kCfKToIFZFQQAaSQHcjRL",133,4,"rapmetal","Rap"
"1886",84659,"I\m Tiredof Warning Yall",0.878,0.265,1,-15.282,1,0.571,0.296,0,0.113,0.22,139.954,"spotify:track:3HMyiljelVL0EtU6RTPO6j",167,4,"rapmetal","Rap"
"1887",84660,"Dead Boy",0.681,0.615,2,-11.577,1,0.0852,0.0204,0,0.139,0.819,119.975,"spotify:track:2tS4Oqvb6b4CPdTwzsHOYD",134,4,"rapmetal","Rap"
"1888",84661,"For The Last Time",0.848,0.507,1,-9.687,1,0.542,0.0906,2.4e-06,0.0945,0.227,140.056,"spotify:track:4AtzZyzf00fxAaJO2LyXiO",156,4,"rapmetal","Rap"
"1889",84662,"It\s Only Natural",0.628,0.421,1,-12.568,1,0.0496,0.336,0.00304,0.582,0.0478,115.006,"spotify:track:2BnmWtYm7CazJVC1Z5B7Tv",150,4,"rapmetal","Rap"
"1890",84663,"Deira City Centre",0.677,0.655,7,-5.541,1,0.0433,0.0027,0.276,0.162,0.146,100.119,"spotify:track:3PcrNUFsSYnkJJNE6roBKl",196,4,"rapmetal","Rap"
"1891",84664,"Branches",0.595,0.333,6,-13.235,1,0.0416,0.474,0.0268,0.0998,0.105,124.993,"spotify:track:63biRmMYSLjClGv5arakyn",123,4,"rapmetal","Rap"
"1892",84665,"I Can\t Fold",0.445,0.491,11,-12.616,0,0.69,0.423,0,0.391,0.262,204.109,"spotify:track:0d6v2e17Ygly2Azc031zkh",190,4,"rapmetal","Rap"
"1893",84666,"Heart Attack",0.585,0.895,11,-3.663,0,0.136,0.0505,0.00423,0.32,0.181,119.904,"spotify:track:7Cq27Qc3WRyQ3ddwVslpVZ",193,4,"rapmetal","Rap"
"1894",84667,"B RE AK DA LA W2 K16",0.761,0.684,1,-8.797,1,0.0819,0.00807,0,0.117,0.184,87.015,"spotify:track:6SMf6mb3kG4pLSnofuuSA0",110,4,"rapmetal","Rap"
"1895",84668,"Excuse Yee",0.918,0.413,4,-8.623,1,0.205,0.116,5.94e-06,0.0986,0.167,120.019,"spotify:track:22sH1NuABAHc4HMkDdKI9Z",180,4,"rapmetal","Rap"
"1896",84669,"Mr.Grim",0.807,0.667,5,-5.76,0,0.0627,0.0123,0.199,0.391,0.165,139.97,"spotify:track:1WRo3nZNGHIagPFHvs74CP",193,4,"rapmetal","Rap"
"1897",84670,"Grey Gods(feat.$Uicideboy$)",0.796,0.674,2,-6.395,1,0.168,0.0186,1.12e-05,0.0776,0.359,160.029,"spotify:track:5Ysq5wZM9uFeH2lKOBVlah",192,4,"rapmetal","Rap"
"1898",84671,"Muddy Blunts",0.881,0.633,1,-6.647,0,0.0683,0.0524,6.72e-06,0.158,0.335,121.922,"spotify:track:0MsOQYWpwActqMERHaQ3Yg",187,4,"rapmetal","Rap"
"1899",84681,"Slide(feat.Blueface&Lil Tjay)",0.532,0.704,5,-3.895,0,0.26,0.093,0,0.184,0.591,96.004,"spotify:track:40Zb4FZ6nS1Hj8RVfaLkCV",186,4,"j-rap","Rap"
"1900",84682,"Location(feat.Burna Boy)",0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979,"spotify:track:3z4CGd63tpUn9a6oQSG0CI",241,4,"j-rap","Rap"
"1901",84683,"Options",0.836,0.621,1,-4.685,0,0.0892,0.387,9.16e-05,0.104,0.762,101.995,"spotify:track:2cytBOLpwFRX7J9URCrFIe",240,4,"j-rap","Rap"
"1902",84684,"Keisha&Becky-Remix",0.863,0.471,6,-9.545,1,0.478,0.251,0,0.121,0.644,140.969,"spotify:track:5wIjM4q7oIgiLqn8Qfoyxh",252,4,"j-rap","Rap"
"1903",84685,"Swervin(feat.6ix9ine)",0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,"spotify:track:1wJRveJZLSb1rjhnUHQiv6",189,4,"j-rap","Rap"
"1904",84686,"Fashion Week(feat.A JTracey&Mo Stack)",0.694,0.757,11,-6.899,0,0.167,0.272,0.000161,0.0995,0.703,97.167,"spotify:track:78KyOmqWmqLkQcXO1cA7MO",201,4,"j-rap","Rap"
"1905",84687,"Kitchen Kings",0.652,0.727,9,-5.976,1,0.0582,0.504,0,0.469,0.165,144.738,"spotify:track:4qQwSWzOyH8OYswlkdg4s8",192,4,"j-rap","Rap"
"1906",84688,"Disaster(feat.J Hus)",0.727,0.761,0,-5.686,0,0.436,0.619,0,0.077,0.706,91.108,"spotify:track:3rqmxZNh2BRgJ3BiCPFTSG",240,4,"j-rap","Rap"
"1907",84689,"Going Bad(feat.Drake)",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,"spotify:track:2IRZnDFmlqMuOrYOLnZZyc",180,4,"j-rap","Rap"
"1908",84690,"Your Mrs",0.852,0.668,5,-7.86,1,0.453,0.612,4.58e-06,0.0634,0.588,143.832,"spotify:track:4MKM1sU3d3aS23WJsYipdV",173,4,"j-rap","Rap"
"1909",84691,"Cocktail",0.813,0.5,2,-8.501,1,0.0793,0.228,1.23e-06,0.332,0.65,98.007,"spotify:track:57OkvCG3IJHCdxcMaoJG8k",195,4,"j-rap","Rap"
"1910",84692,"Old Town Road",0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,"spotify:track:53CJANUxooaqGOtdsBTh7O",113,4,"j-rap","Rap"
"1911",84693,"Leave Me Alone",0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,"spotify:track:5vDvBD3ReINP8dXUplj477",195,4,"j-rap","Rap"
"1912",84694,"M ID DL EC HI LD",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,"spotify:track:2JvzF1RMd7lE3KmFlsyZD8",213,4,"j-rap","Rap"
"1913",84695,"Pure Water(with Migos)",0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,"spotify:track:63cd4JkwGgYJrbOizbfmsp",194,4,"j-rap","Rap"
